DateTime,Time,Time,corImpulses,Distance,AccuDist
02.11.2016,0.674028,16:10:36,0,0.785,0.785
06.11.2016,0.524063,12:34:39,1,0.785,1.57
06.11.2016,0.57669,13:50:26,0,0.785,2.355
07.11.2016,0.331377,07:57:11,1,0.785,3.14
07.11.2016,0.834479,20:01:39,0,0.785,3.925
08.11.2016,0.309954,07:26:20,1,0.785,4.71
08.11.2016,0.4239,10:10:25,0,0.785,5.495
08.11.2016,0.556238,13:20:59,1,0.785,6.28
08.11.2016,0.627905,15:04:11,0,0.785,7.065
08.11.2016,0.772535,18:32:27,1,0.785,7.85
08.11.2016,0.827604,19:51:45,0,0.785,8.635
08.11.2016,0.915532,21:58:22,1,0.785,9.42
08.11.2016,0.965347,23:10:06,0,0.785,10.205
09.11.2016,0.065868,01:34:51,1,0.785,10.99
09.11.2016,0.114097,02:44:18,0,0.785,11.775
09.11.2016,0.175104,04:12:09,1,0.785,12.56
09.11.2016,0.208148,04:59:44,0,0.785,13.345
09.11.2016,0.273044,06:33:11,1,0.785,14.13
09.11.2016,0.308507,07:24:15,0,0.785,14.915
09.11.2016,0.370509,08:53:32,1,0.785,15.7
09.11.2016,0.410278,09:50:48,0,0.785,16.485
09.11.2016,0.463912,11:08:02,1,0.785,17.27
09.11.2016,0.49485,11:52:35,0,0.785,18.055
09.11.2016,0.553032,13:16:22,1,0.785,18.84
09.11.2016,0.616794,14:48:11,0,0.785,19.625
09.11.2016,0.767581,18:25:19,1,0.785,20.41
09.11.2016,0.850243,20:24:21,0,0.785,21.195
09.11.2016,0.920521,22:05:33,1,0.785,21.98
09.11.2016,0.963241,23:07:04,0,0.785,22.765
10.11.2016,0.039097,00:56:18,1,0.785,23.55
10.11.2016,0.080799,01:56:21,0,0.785,24.335
10.11.2016,0.154873,03:43:01,1,0.785,25.12
10.11.2016,0.191088,04:35:10,0,0.785,25.905
10.11.2016,0.26463,06:21:04,1,0.785,26.69
10.11.2016,0.298472,07:09:48,0,0.785,27.475
10.11.2016,0.369745,08:52:26,1,0.785,28.26
10.11.2016,0.400243,09:36:21,0,0.785,29.045
10.11.2016,0.469444,11:16:00,1,0.785,29.83
10.11.2016,0.552072,13:14:59,0,0.785,30.615
10.11.2016,0.631308,15:09:05,1,0.785,31.4
10.11.2016,0.680243,16:19:33,0,0.785,32.185
