statnr,datum,RSX
12311,2014090101,0.1
12311,2014090102,0.1
12311,2014090103,0.4
12311,2014090104,1.1
12311,2014090105,2.1
12311,2014090106,0.7
12311,2014090107,0.5
12311,2014090108,0.4
12311,2014090109,0.5
12311,2014090110,0.3
12311,2014090111,0.2
12311,2014090112,0.4
12311,2014090113,0.2
12311,2014090114,0.1
12311,2014090115,0.2
12311,2014090116,0.2
12311,2014090117,0.3
12311,2014090118,0.1
12311,2014090119,0
12311,2014090120,0.1
12311,2014090121,0
12311,2014090122,0
12311,2014090123,0
12311,2014090124,0
12311,2014090201,0
12311,2014090202,0.1
12311,2014090203,0
12311,2014090204,0
12311,2014090205,0.3
12311,2014090206,0.2
12311,2014090207,0.1
12311,2014090208,0.1
12311,2014090209,0.1
12311,2014090210,0
12311,2014090211,0
12311,2014090212,0
12311,2014090213,0.3
12311,2014090214,0.1
12311,2014090215,0.2
12311,2014090216,0.3
12311,2014090217,0.5
12311,2014090218,0.4
12311,2014090219,0.3
12311,2014090220,0.8
12311,2014090221,1.1
12311,2014090222,0.6
12311,2014090223,0.8
12311,2014090224,0.5
12311,2014090301,0.5
12311,2014090302,0.8
12311,2014090303,0.3
12311,2014090304,0.6
12311,2014090305,0.2
12311,2014090306,0
12311,2014090307,0
12311,2014090308,0
12311,2014090309,0
12311,2014090310,0
12311,2014090311,0
12311,2014090312,0
12311,2014090313,0
12311,2014090314,0
12311,2014090315,0
12311,2014090316,0
12311,2014090317,0
12311,2014090318,0
12311,2014090319,0
12311,2014090320,0
12311,2014090321,0
12311,2014090322,0
12311,2014090323,0
12311,2014090324,0
12311,2014090401,0
12311,2014090402,0
12311,2014090403,0
12311,2014090404,0
12311,2014090405,0
12311,2014090406,0
12311,2014090407,0
12311,2014090408,0
12311,2014090409,0
12311,2014090410,0
12311,2014090411,0
12311,2014090412,0
12311,2014090413,0
12311,2014090414,0
12311,2014090415,0
12311,2014090416,0
12311,2014090417,0
12311,2014090418,0
12311,2014090419,0
12311,2014090420,0
12311,2014090421,0
12311,2014090422,0
12311,2014090423,0
12311,2014090424,0
12311,2014090501,0
12311,2014090502,0
12311,2014090503,0
12311,2014090504,0
12311,2014090505,0
12311,2014090506,0
12311,2014090507,0
12311,2014090508,0
12311,2014090509,0
12311,2014090510,0
12311,2014090511,0.1
12311,2014090512,0.1
12311,2014090513,0
12311,2014090514,0
12311,2014090515,0
12311,2014090516,0
12311,2014090517,0
12311,2014090518,0
12311,2014090519,0
12311,2014090520,0
12311,2014090521,0
12311,2014090522,0
12311,2014090523,0
12311,2014090524,0
12311,2014090601,0.3
12311,2014090602,0.1
12311,2014090603,0
12311,2014090604,0
12311,2014090605,0
12311,2014090606,0
12311,2014090607,0
12311,2014090608,0
12311,2014090609,0
12311,2014090610,0
12311,2014090611,0
12311,2014090612,0
12311,2014090613,0
12311,2014090614,0
12311,2014090615,0
12311,2014090616,0
12311,2014090617,0
12311,2014090618,0
12311,2014090619,0
12311,2014090620,0
12311,2014090621,0
12311,2014090622,0
12311,2014090623,0
12311,2014090624,0
12311,2014090701,0
12311,2014090702,0
12311,2014090703,0
12311,2014090704,0
12311,2014090705,0
12311,2014090706,0
12311,2014090707,0
12311,2014090708,0
12311,2014090709,0
12311,2014090710,0
12311,2014090711,0
12311,2014090712,0
12311,2014090713,0
12311,2014090714,0.4
12311,2014090715,0
12311,2014090716,0
12311,2014090717,0
12311,2014090718,0
12311,2014090719,0
12311,2014090720,0
12311,2014090721,0
12311,2014090722,0
12311,2014090723,0
12311,2014090724,0
12311,2014090801,0
12311,2014090802,0
12311,2014090803,0
12311,2014090804,0
12311,2014090805,0
12311,2014090806,0
12311,2014090807,0
12311,2014090808,0
12311,2014090809,0
12311,2014090810,0
12311,2014090811,0
12311,2014090812,0
12311,2014090813,0
12311,2014090814,0
12311,2014090815,0
12311,2014090816,0
12311,2014090817,0
12311,2014090818,0
12311,2014090819,0
12311,2014090820,0
12311,2014090821,0
12311,2014090822,0.2
12311,2014090823,0.9
12311,2014090824,0
12311,2014090901,0
12311,2014090902,0
12311,2014090903,0
12311,2014090904,0
12311,2014090905,0
12311,2014090906,0
12311,2014090907,0.5
12311,2014090908,0
12311,2014090909,0
12311,2014090910,0
12311,2014090911,0
12311,2014090912,0
12311,2014090913,0
12311,2014090914,0
12311,2014090915,3.7
12311,2014090916,1.9
12311,2014090917,0
12311,2014090918,1.1
12311,2014090919,1.9
12311,2014090920,0
12311,2014090921,0
12311,2014090922,0
12311,2014090923,0
12311,2014090924,0
12311,2014091001,0
12311,2014091002,0
12311,2014091003,3.3
12311,2014091004,2.4
12311,2014091005,1.3
12311,2014091006,3.3
12311,2014091007,0
12311,2014091008,0
12311,2014091009,0
12311,2014091010,0
12311,2014091011,0
12311,2014091012,0
12311,2014091013,0
12311,2014091014,0
