"","Group.1","x","SH_max.x","SH_min.x","SH_sd.x","T_mean.x","T_max.x","T_min.x","T_sd.x","Rad_mean.x","Rad_max.x","Rad_min.x","Rad_sd.x","Per_mean.x","Per_max.x","Per_min.x","Per_sd.x","Per_sum.x"
"1",2014-01-01,100.370833333333,101.4,96.7,0.808596729729147,-2.10277777777778,0.5,-4.7,1.33033170291564,46.2777777777778,242,0,80.6881629644624,0.243055555555556,3,0,0.545118551009076,35
"2",2014-01-02,101.011111111111,101.8,100,0.454520589840511,-1.31041666666667,0.9,-4,1.24735909836731,28.6875,221,0,49.5335541780568,0.256944444444444,4,0,0.588307133736523,37
"3",2014-01-03,99.5270833333333,100.8,96.1,0.713135374902313,0.0708333333333333,4,-3.1,1.84826038034862,46,250,0,74.7877182243368,0.229166666666667,2,0,0.468873818145839,33
"4",2014-01-04,100.4,101.3,99.5,0.339635264182116,0.713286713286713,2.8,-2.3,1.19789943864413,30.1958041958042,202,0,48.0302514327563,0.636363636363636,43,0,3.79871263320277,91
"5",2014-01-05,100.573611111111,104.7,98.5,1.09371926641247,-2.80763888888889,2.4,-6.1,3.20840417080397,19.0069444444444,91,0,28.3924782041004,1.70833333333333,65,0,9.06455094950014,246
"6",2014-01-06,103.425,104.5,100.8,0.962405203759714,1.37638888888889,7.3,-6.2,4.55872307773307,51.8541666666667,260,0,89.0596538313474,0.256944444444444,2,0,0.483959886475286,37
"7",2014-01-07,103.449305555556,104.8,101.8,0.638069260744773,3.32152777777778,7.1,0.1,1.92452566835936,40.6458333333333,234,0,65.1714756719436,0.166666666666667,1,0,0.373978796003383,24
"8",2014-01-08,102.771527777778,104.2,100.4,0.738801069437517,2.86805555555556,5.2,1.2,0.900633248686861,47.4583333333333,322,-1,81.7932644652853,0.263888888888889,3,0,0.541767517955851,38
"9",2014-01-09,102.854861111111,104.1,101,0.613693377017025,5.68472222222222,7.7,2.3,1.27176544020009,40.2083333333333,249,-1,65.5986818688993,0.208333333333333,1,0,0.40753394470144,30
"10",2014-01-10,105.247916666667,107.5,99.8,1.82875129356244,-2.40347222222222,2.3,-5.2,2.08770671500916,36.2152777777778,315,-1,66.6243160207817,0.25,3,0,0.522232967867094,36
"11",2014-01-11,105.709027777778,107.2,104.3,0.523425136336491,1.22847222222222,3.8,-1.9,1.52634960088379,45.6319444444444,286,-1,77.1156380363875,0.201388888888889,1,0,0.40243769636566,29
"12",2014-01-12,104.256643356643,105.8,102.9,0.795281812090643,-0.100699300699301,2.5,-3.2,1.59715841433856,53.006993006993,271,-1,93.9013189323363,0.895104895104895,79,0,6.9603639279887,128
"13",2014-01-13,103.429861111111,104.5,101.5,0.569023192112934,0.822916666666667,2.8,-2.2,1.20388176068345,51.7430555555556,270,-168,94.4000375227922,0.243055555555556,2,0,0.476680359071113,35
"14",2014-01-14,105.483216783217,115.1,102.2,3.76243452077197,-3.5013986013986,-0.6,-6.2,1.76020109342478,37.1818181818182,175,0,58.2034600834437,0.160839160839161,1,0,0.368673863476323,23
"15",2014-01-15,115.188194444444,118.3,112.4,1.63298587593949,-6.01041666666667,-2.9,-7.3,1.1161696959736,43.3888888888889,206,0,67.5410376274437,0.229166666666667,2,0,0.453714275019691,33
"16",2014-01-16,113.170629370629,114.8,108.6,1.47399200065826,-0.376923076923077,1.1,-2.7,0.842004006856438,51.027972027972,282,0,83.1027655050707,0.181818181818182,2,0,0.404836319495406,26
"17",2014-01-17,104.036805555556,108.6,101.8,1.94003628139161,-1.43055555555556,0.6,-3.7,1.0768561972795,54.1041666666667,348,0,93.5950000719138,0.1875,2,0,0.409139468757421,27
"18",2014-01-18,102.115277777778,103.3,101,0.690122057152541,0.559027777777778,2.5,-1.2,0.979611254025396,62.5902777777778,367,1,105.602395421711,0.333333333333333,22,0,1.86239938480753,48
"19",2014-01-19,97.9236111111111,101.7,95.4,1.10952557814005,1.26041666666667,3.5,-0.8,0.932116829167236,64.7083333333333,360,-1,110.307699012981,0.611111111111111,45,0,3.77905732706905,88
"20",2014-01-20,97.9069444444444,99.8,96,0.570688797144033,-1.07986111111111,2.7,-3.9,1.6275847592083,42.9166666666667,277,-1,69.2919737226298,0.1875,2,0,0.457551250520799,27
"21",2014-01-21,104.966666666667,109.3,98.6,2.92007759260831,-5.15069444444444,-3.2,-5.9,0.612914227309866,45.4305555555556,278,-1,79.0830892409054,0.104166666666667,1,0,0.306542870523083,15
"22",2014-01-22,107.52027972028,108.8,106,0.697233915177081,-3.81888111888112,-1.3,-5.7,1.18226037079795,64.5734265734266,311,-1,109.322786660633,0.216783216783217,3,0,0.505461163577731,31
